cycle_id,ADG,start_date,end_date,start_weight,end_weight,duration_days
24772.0,0.15396825396825395,2023-09-13,2023-11-15,2.17,11.87,63
24773.0,0.17387755102040817,2023-09-13,2023-11-01,2.43,10.95,49
24774.0,0.19555555555555557,2023-09-13,2023-11-15,2.05,14.37,63
24775.0,0.15964285714285717,2023-09-13,2023-11-08,2.77,11.71,56
24776.0,0.20448979591836733,2023-09-13,2023-11-01,2.37,12.39,49
24777.0,0.2261904761904762,2023-09-13,2023-11-15,1.72,15.97,63
24778.0,0.1875,2023-09-13,2023-11-08,2.06,12.56,56
24804.0,,2023-08-26,2023-08-26,10.0,10.0,0
24808.0,0.2286206896551724,2023-09-07,2023-10-06,2.95,9.58,29
24814.0,0.29796875,2023-09-10,2023-11-13,3.51,22.58,64
24815.0,0.31384615384615383,2023-09-10,2023-11-14,3.41,23.81,65
24819.0,0.42192982456140354,2023-09-14,2023-11-10,2.95,27.0,57
24834.0,0.4106666666666667,2022-12-19,2023-01-18,5.28,17.6,30
24836.0,0.356,2022-12-19,2023-01-18,4.87,15.55,30
24846.0,,2023-10-06,2023-10-06,17.54,17.54,0
24849.0,,2023-09-05,2023-09-05,8.3,8.3,0
24881.0,0.18952702702702703,2023-08-22,2024-01-17,0.02,28.07,148
24882.0,0.18925675675675677,2023-08-22,2024-01-17,0.02,28.03,148
24883.0,0.1781699346405229,2023-08-24,2024-01-24,0.02,27.28,153
24884.0,0.20333333333333334,2023-09-13,2024-01-17,0.25,25.87,126
24885.0,0.1614569536423841,2023-09-02,2024-01-31,0.01,24.39,151
24886.0,0.30196721311475405,2023-09-29,2023-11-29,3.78,22.2,61
24888.0,0.31925,2023-09-29,2023-11-08,4.13,16.9,40
24889.0,0.20925925925925928,2023-09-22,2023-10-19,2.35,8.0,27
24890.0,0.09806451612903226,2023-09-23,2023-10-24,1.96,5.0,31
24891.0,0.06097560975609756,2023-09-23,2023-11-03,2.0,4.5,41
24892.0,,2023-09-19,2023-09-19,3.47,3.47,0
24893.0,,2023-09-19,2023-09-19,4.14,4.14,0
24894.0,,2023-09-19,2023-09-19,4.09,4.09,0
24895.0,,2023-09-19,2023-09-19,3.59,3.59,0
24946.0,0.1724137931034483,2023-09-29,2023-10-28,5.0,10.0,29
24948.0,0.09142857142857141,2023-10-10,2023-11-07,7.7,10.26,28
24949.0,0.7636363636363636,2023-11-06,2023-11-17,16.6,25.0,11
24950.0,0.6666666666666666,2023-10-27,2023-11-20,12.5,28.5,24
24952.0,0.8825000000000001,2023-09-29,2023-10-07,2.94,10.0,8
24965.0,0.35714285714285715,2023-10-01,2023-10-08,5.5,8.0,7
24966.0,0.375,2023-10-01,2023-10-13,5.5,10.0,12
24970.0,0.22107142857142856,2023-09-20,2024-01-10,0.32,25.08,112
24971.0,0.17053435114503818,2023-09-01,2024-01-10,0.01,22.35,131
24972.0,0.16473684210526315,2023-08-30,2024-01-10,0.01,21.92,133
24977.0,0.19636363636363635,2023-09-19,2023-11-13,2.4,13.2,55
24980.0,0.23818181818181822,2023-09-19,2023-11-13,2.3,15.4,55
24987.0,-0.14666666666666667,2023-07-08,2023-10-06,22.72,9.52,90
24994.0,,2023-10-04,2023-10-04,6.25,6.25,0
25019.0,0.2962857142857143,2023-09-26,2023-10-31,2.84,13.21,35
25020.0,0.30885714285714283,2023-09-26,2023-10-31,2.55,13.36,35
25021.0,0.3154285714285714,2023-09-26,2023-10-31,2.91,13.95,35
25022.0,0.3097142857142857,2023-09-26,2023-10-31,3.35,14.19,35
25023.0,0.4085714285714286,2023-09-25,2023-10-30,2.82,17.12,35
25024.0,0.44095238095238104,2023-09-25,2023-11-06,3.08,21.6,42
25025.0,0.4557142857142857,2023-09-25,2023-10-23,3.22,15.98,28
25049.0,0.30357142857142855,2023-09-24,2023-10-22,3.4,11.9,28
25050.0,0.24892857142857144,2023-09-24,2023-10-22,3.11,10.08,28
25051.0,0.33035714285714285,2023-09-24,2023-10-22,3.52,12.77,28
25052.0,0.24714285714285714,2023-09-24,2023-10-22,3.0,9.92,28
25053.0,0.2967857142857143,2023-09-24,2023-10-22,2.99,11.3,28
25054.0,0.2860714285714286,2023-09-24,2023-10-22,2.76,10.77,28
25072.0,0.09304347826086955,2023-10-09,2023-11-01,5.0,7.14,23
25073.0,0.039285714285714333,2023-10-18,2023-11-01,7.14,7.69,14
25074.0,,2023-10-06,2023-10-06,5.0,5.0,0
25077.0,0.11204081632653062,2023-09-26,2023-11-14,2.08,7.57,49
25078.0,0.2314285714285714,2023-09-26,2023-10-10,2.6,5.84,14
